imdb_id,platform_id
tt6959706,P02
tt6974848,P02
tt7008868,P02
tt7010622,P02
tt7019028,P02
tt7103168,P02
tt7146812,P02
tt7153434,P02
tt7165904,P02
tt7188868,P02
tt7207238,P02
tt7217020,P02
tt7249258,P02
tt7293698,P02
tt7573844,P02
tt7620568,P02
tt7631348,P02
tt7642482,P02
tt7651892,P02
tt7678620,P02
tt7726152,P02
tt7728344,P02
tt7759016,P02
tt7775248,P02
tt7775622,P02
tt7823038,P02
tt7848136,P02
tt7964284,P02
tt7974952,P02
tt7979492,P02
tt8022928,P02
tt8050740,P02
tt8053430,P02
tt8075496,P02
tt8080302,P02
tt8096832,P02
tt8111088,P02
tt8115666,P02
tt8174114,P02
tt8336340,P02
tt8352934,P02
tt8381724,P02
tt8390274,P02
tt8510382,P02
tt8611524,P02
tt8676618,P02
tt8693362,P02
tt8780664,P02
tt8879238,P02
tt8884364,P02
tt8952294,P02
